,direct,news,social
related,7446,10707,2129
request,3696,604,174
offer,46,65,7
aid_related,4338,5860,662
medical_help,592,1415,77
medical_products,471,793,49
search_and_rescue,216,441,67
security,131,292,48
military,46,801,13
child_alone,0,0,0
water,836,790,46
food,1807,1007,109
shelter,1152,1113,49
clothing,247,135,23
money,148,381,75
missing_people,86,165,47
refugees,174,666,35
death,254,858,82
other_aid,1575,1563,308
infrastructure_related,327,1230,148
transport,210,872,119
buildings,391,829,113
electricity,81,327,124
tools,33,114,12
hospitals,54,202,27
shops,33,68,19
aid_centers,78,218,13
other_infrastructure,186,866,99
weather_related,1521,4280,1496
floods,304,1747,104
storm,315,1445,683
fire,41,225,16
earthquake,796,910,749
cold,63,415,52
other_weather,207,1052,117
direct_report,3613,852,610
